Trial,Meso Spent,Destructions
0,3730206274.590867,1
1,5806312232.484323,1
2,1930273465.35253,1
3,2030245028.1495516,1
4,3774140395.099214,1
5,3683934713.431659,0
6,3923881231.158755,1
7,2156287007.347881,1
8,1107122883.0498395,1
9,3978758323.0647836,0
10,8863693667.359797,1
11,5109276932.839023,1
12,1160991817.2439198,1
13,10633791591.777925,1
14,4648529090.364864,1
15,8289163072.551541,1
16,2762278078.154629,0
17,7004966714.530843,1
18,7460989517.640812,1
19,1976400169.874184,1
20,820903815.7372717,1
21,2451672231.698906,1
22,664062697.0158902,1
23,8090138514.857389,1
24,690762240.885757,1
25,4972169371.658978,0
26,5190867019.459767,1
27,3525677975.4192524,1
28,1430945301.3140795,1
29,1463554664.0409353,1
30,2944237842.8057528,1
31,7944724050.262445,0
32,8355312835.192129,1
33,3825887434.3519588,1
34,3280277579.6340575,1
35,901544055.1163099,1
36,4639216698.828144,1
37,13131334140.804363,1
38,1910745372.1071484,1
39,10958362822.660791,0
40,8009695710.06809,1
41,2883926874.776266,1
42,2238920746.4279594,1
43,5055653661.340443,1
44,8708261414.785337,1
45,1300322061.6952229,1
46,2110884588.88973,1
47,5522770088.219719,0
48,5900413657.828472,1
49,5034493514.822557,0
50,5423511928.352335,1
51,1031041916.860013,1
52,786738459.0811434,1
53,2747156174.965849,1
54,8487551213.791004,1
55,12211780642.528883,1
56,4023930941.4246273,1
57,970891133.4792006,1
58,1969814363.710555,1
59,5038963998.525624,1
60,3902080963.86708,1
61,4903530821.267419,1
62,803677381.5585015,1
63,5453460696.837863,1
64,5089474767.970109,0
65,10320248013.111588,1
66,2113638794.2159967,1
67,5133371560.927869,1
68,5218959549.101347,1
69,2328400400.7438154,1
70,1658842391.1857057,1
71,1463746338.5085428,1
72,3372550820.241196,1
73,4492797297.713806,1
74,1081495124.805872,1
75,6627844778.277523,1
76,13366466822.563276,1
77,10296873590.16341,0
78,3831843181.8891644,1
79,9291886223.55704,0
80,802756853.7416713,1
81,5604698585.903463,1
82,3019383775.401941,1
83,4094437554.328442,0
84,2294401435.9236507,1
85,589727875.122846,1
86,1524103272.1996179,1
87,573646174.1433777,1
88,2486207847.326614,1
89,3983204731.7052574,1
90,2750787757.7408233,0
91,1993258519.3958504,1
92,4448846346.578311,1
93,3716833620.1416717,0
94,3881648905.7193303,1
95,1963262379.25576,1
96,2986266323.2441535,0
97,913193925.158308,1
98,2284641342.6052136,1
99,5093003834.116019,1
100,8480292482.472867,1
101,13397722703.789057,1
102,2755624774.1282372,1
103,1921529266.0364366,1
104,1534197205.3381245,1
105,3272840605.123392,1
106,1319555792.778828,1
107,7757530299.58478,1
108,1197794386.7089005,1
109,3183786544.1433864,1
110,951243236.8778988,1
111,5417542977.251512,1
112,2184231834.6136856,1
113,5289665339.691695,1
114,24983830771.80629,1
115,3224534132.9945283,1
116,1069558929.320773,1
117,16967139492.290457,0
118,3102809752.097458,1
119,1294865828.9884427,1
120,2286040268.1556063,1
121,6014678816.33694,1
122,3472657560.4688463,1
123,6342644837.136913,0
124,1851920299.4008522,1
125,4225197343.953753,1
126,4333870668.268592,1
127,5915733609.646803,1
128,13462483744.211031,0
129,3930462721.5858736,1
130,9490384900.901579,1
131,5199970547.144627,1
132,3675219799.78478,0
133,1108941577.09717,1
134,4818443172.967349,1
135,3135412394.4174533,1
136,1544290740.6537774,1
137,2574378920.1432366,1
138,2741154828.4503794,1
139,2315390554.7356462,1
140,1815635467.8662586,1
141,8029972738.357845,0
142,1273852065.415471,1
143,808760962.3224591,1
144,1169544399.1181862,1
145,2912629636.6138916,1
146,6905594713.057436,0
147,1947650629.2662973,1
148,4827971571.606425,1
149,3443239743.6911697,1
150,573646174.1433777,1
151,2284966199.3550615,1
152,2009848761.3134398,1
153,3263821622.1759815,1
154,2018624727.2089107,1
155,1031867533.3399651,1
156,4651500657.286612,1
157,6032897303.144198,1
158,3351196935.640266,1
159,9017151798.025414,1
160,7724950265.966195,0
161,5737387733.867095,1
162,3746270402.231328,1
163,5665942837.857647,1
164,3705008619.484257,1
165,3737092127.1263633,1
166,2070263763.65147,1
167,2357315935.364812,1
168,5747117643.518312,1
169,5943108433.96686,1
170,464129630.5435711,1
171,2483882900.776746,1
172,1590012124.8562765,1
173,537511393.7049216,1
174,21075204169.046673,1
175,2747682225.16998,1
176,14477682063.65369,1
177,3337343552.5497494,1
178,707892837.830723,1
179,7799959442.21706,0
180,1867740847.7722676,1
181,6191105573.136769,0
182,2630241599.5429688,0
183,5468663135.111934,1
184,4578236188.704678,0
185,3478481635.001769,1
186,1033836957.1222929,1
187,5511152106.486889,1
188,1333342685.1520495,1
189,644009617.5569024,1
190,7066816242.101718,1
191,6748454654.953687,0
192,6194041667.740679,1
193,3970126415.7267613,1
194,2175124799.0054073,1
195,1835291250.2112358,1
196,12404685674.742607,1
197,6105357545.013744,0
198,4659311825.091096,1
199,3812012661.1397142,1
200,1363156386.0035458,1
201,8230940403.218291,1
202,2331275190.0082626,0
203,1103184035.4851837,1
204,2779504523.1782513,1
205,5610853273.654462,1
206,1416802040.7120805,1
207,7433165749.626886,1
208,5009464886.736721,1
209,2523938632.757501,0
210,6342932162.119088,0
211,1219721052.716412,1
212,2881577758.300532,1
213,1871217374.9901452,1
214,2817077041.2898526,1
215,2442736300.8894234,1
216,6855123163.530344,1
217,3090247425.8562164,1
218,6926177022.125933,1
219,2231804180.052074,1
220,2398738561.525696,1
221,3423817314.53753,1
222,3966083682.0075984,1
223,2093682230.629673,1
224,5065181088.5872135,1
225,6099185149.847353,1
226,623893231.7789743,1
227,1262438991.2468069,1
228,7401252594.288486,1
229,623893231.7789743,1
230,4345068973.300118,1
231,978189347.7165668,1
232,4717101136.501117,1
233,1895901169.9506829,1
234,3870036381.13598,1
235,5112951159.844651,1
236,1453128495.6181443,1
237,3134825429.2864084,1
238,6600634665.779398,1
239,5163082158.799375,1
240,1197539405.922352,1
241,2890838952.052351,1
242,2533104773.4685135,1
243,9011625527.793884,1
244,3980854966.524817,1
245,2568856053.926361,1
246,9198012159.631298,1
247,10386440488.231094,0
248,4562873762.922801,1
249,2293107577.525137,1
250,609940098.1345782,1
251,4412630303.81636,1
252,2073962207.8162353,1
253,4654862318.625401,0
254,5160842937.590769,1
255,3671206818.153687,1
256,3948771826.771409,1
257,5809474967.833451,1
258,2873107752.372729,1
259,1544219657.977546,1
260,4930460606.958727,0
261,1548324746.8133771,1
262,14142639581.322847,1
263,6588959822.266479,1
264,1226851303.5078392,1
265,4328456257.007948,1
266,4173635844.051875,1
267,7019997043.938155,1
268,3824503231.7686834,1
269,6300240424.990341,0
270,4411009678.23278,1
271,3754323717.6633577,1
272,3638471598.403695,1
273,535446132.6887896,1
274,7756455772.156652,1
275,976124086.7004349,1
276,4105308062.61897,1
277,4787550357.080984,1
278,8715597710.145988,1
279,1131344357.663598,1
280,10665131577.743773,1
281,4868239219.80307,0
282,2062535193.7213702,1
283,1302988733.8088355,1
284,1392326901.41109,1
285,2854449320.551311,1
286,2647209087.1157694,1
287,2396500971.9445043,1
288,1436839458.0701025,1
289,1905758985.8547146,1
290,9103695635.326496,0
291,4732843896.796084,1
292,4120740638.9138045,0
293,2907015303.890271,1
294,2950468216.3958178,0
295,8965432132.28402,1
296,1886964870.0471241,1
297,1807526685.7486272,0
298,14207326387.457285,0
299,2104054185.1901302,1
300,5541675012.566044,1
301,5934191479.089345,1
302,3998003231.553175,1
303,1889334202.0337815,1
304,6807588668.729527,0
305,6705574171.439473,1
306,1016802197.4111309,1
307,13189125102.932596,1
308,1351998292.6214297,1
309,2486273546.616797,1
310,4254201618.5003347,1
311,1913635323.7063065,1
312,3610502272.0540276,1
313,1351394735.8107715,1
314,3480194703.1894035,1
315,1118757090.990872,1
316,1032542851.4657145,1
317,3761783695.4525347,1
318,5985803748.623194,1
319,12587398130.271132,0
320,4660801383.761251,1
321,2991565857.4261303,1
322,1981498336.2773933,1
323,7909213430.842782,1
324,8176536994.905532,1
325,3793205464.848773,1
326,3291276776.3112807,1
327,4564846312.596879,1
328,2864013851.165492,1
329,4258880414.2294593,1
330,2821356570.8823495,1
331,2639746206.2088604,1
332,10751695186.108456,1
333,1086149275.7740214,1
334,678174974.2130307,1
335,5445777880.782496,0
336,1946697570.5346038,1
337,9540220814.687456,0
338,1859107692.942309,1
339,4162093813.956014,1
340,501376613.2664654,1
341,943420434.2497805,1
342,1545076200.8365757,1
343,13579863790.816025,1
344,2221020598.6592255,1
345,2268271338.49722,1
346,938972941.2113446,1
347,3084116440.8163595,1
348,6995087849.013842,1
349,4309959793.091311,1
350,1151748255.1429384,1
351,627927916.5774341,1
352,4464244222.967671,1
353,5398632342.268509,1
354,1413650010.6079435,1
355,4391908085.895511,1
356,2341885370.7105517,0
357,2421977518.103001,1
358,3907957685.1388474,1
359,4540365468.513007,1
360,1234690551.4114425,1
361,4386616986.216473,1
362,5502812772.641315,1
363,2880637277.5272274,1
364,3277673425.403929,1
365,1384098388.261426,1
366,5582664676.983979,1
367,7117471262.384663,0
368,3415595793.072092,1
369,8020097676.377279,1
370,2992287085.393063,1
371,6309698791.137532,1
372,4844777267.29962,1
373,3977219941.467244,1
374,1224238949.792219,1
375,2945739255.0967507,1
376,7604305329.764108,1
377,7421403875.223737,1
378,9008290462.206192,1
379,3663265167.532582,1
380,4914582174.096072,1
381,1740021523.7787418,1
382,1954345965.3318655,1
383,2195614762.623084,1
384,2660595442.8430395,1
385,7900362977.187736,1
386,3766493019.737885,1
387,6775570380.286257,1
388,3375108960.0944834,1
389,893173376.6141839,1
390,3006764799.1756163,1
391,4986648308.541297,1
392,2063391736.5804,1
393,5818199474.346663,1
394,720575941.7372533,1
395,2141592487.1934757,1
396,4784660405.481826,1
397,3074119618.2790327,1
398,7479124792.950704,1
399,2603819440.977837,1
400,2677521415.087513,1
401,6693710264.933321,1
402,2932081409.511057,1
403,2562323084.0690327,1
404,2893919391.743765,1
405,7606658414.549947,1
406,9026929936.936525,1
407,11809641634.8289,1
408,1262288940.1506696,1
409,3167822937.448394,1
410,4235071350.0328236,1
411,1835759374.4908175,1
412,11891745576.553436,1
413,2384799364.8158445,1
414,1842586959.0993183,1
415,4812050531.755555,1
416,4323143517.923173,0
417,3793170254.009501,0
418,6766498497.890142,1
419,1251798388.5370123,1
420,2568071109.685999,1
421,6704850078.076931,1
422,1917996173.9109464,0
423,5948070477.750223,1
424,447094870.832409,1
425,2086328595.8170414,1
426,1818701829.6549125,1
427,3513766026.872276,1
428,6750502888.354355,1
429,2059286647.7445695,1
430,7152385035.066657,0
431,1725711400.2924886,1
432,1592234534.6869762,1
433,4307158048.082727,1
434,4455869228.061681,1
435,2576488256.0375338,1
436,3101510871.3668776,1
437,3031619599.4495797,1
438,5918990975.516805,1
439,6351716041.4276285,1
440,2105349648.124429,1
441,3467018218.087206,1
442,2609511697.380084,1
443,8537242733.657075,1
444,10562491571.532902,1
445,3187875442.804179,1
446,2506045956.5821433,1
447,8631323017.240015,1
448,5538406752.89905,1
449,4022936937.960323,1
450,1500856539.2650228,1
451,10403640926.530975,1
452,1831375443.281982,1
453,6556116576.565803,0
454,935312265.6334276,1
455,1148474954.6085644,1
456,1821146442.099232,1
457,3200167987.679025,1
458,3642585243.7796793,1
459,6053831009.640883,1
460,11081850814.285496,1
461,2429568627.427826,1
462,2748245706.119173,1
463,9136898476.009949,1
464,4654370984.225924,0
465,5774115987.542225,1
466,6140646827.979615,1
467,3959029272.6737156,1
468,2983940653.8290596,1
469,2468951275.2042227,1
470,9805484533.63167,0
471,3080868573.4784193,1
472,1890905009.6111255,1
473,9210731988.39725,1
474,9243277277.478018,1
475,4143731531.8365493,1
476,2363999783.010874,1
477,1172792945.0949874,1
478,3891502971.784614,1
479,1358127697.7407815,1
480,4086064048.623416,1
481,8824425309.435656,1
482,7635151132.443422,0
483,2479490828.313575,1
484,6679452102.4791155,1
485,3088960296.8192873,1
486,5405851362.622224,1
487,4294082836.4291315,1
488,2448051033.7792816,1
489,1822636623.1549046,1
490,4190916042.3483915,1
491,4998416632.914089,1
492,11030272608.211145,0
493,3255269718.940575,1
494,1135474879.695862,1
495,1725235285.7335718,1
496,4134558282.5212755,1
497,1902318086.7714462,1
498,5597468803.278982,1
499,2733935582.632919,1
500,5767254441.867991,1
501,7238632720.309099,1
502,5054464740.884936,1
503,2979890306.929634,1
504,742757588.5313133,1
505,3777753113.922716,1
506,4474647010.176661,1
507,3089902954.343897,1
508,984606264.5373306,1
509,3040414668.1501946,1
510,4421507917.515448,1
511,1582473913.2944674,1
512,2117780132.8574486,1
513,833395245.176194,1
514,1821011009.5681553,1
515,3403134997.8133864,1
516,4239575394.8550215,1
517,777939310.2380757,1
518,10949624856.363453,1
519,8595737594.933987,0
520,13525640315.073076,1
521,12401765999.697617,1
522,3529948379.629333,1
523,4817530051.94559,1
524,1945697546.2237952,1
525,2447954270.648553,1
526,2835239384.0331483,1
527,2331885742.5939503,1
528,4601621911.090001,1
529,883325331.8056184,1
530,3492820274.3654327,1
531,10207825824.115107,0
532,3589838356.355682,0
533,4287789002.1070256,1
534,2700396201.8097725,1
535,9151030884.675106,1
536,4947551360.797287,0
537,1098227896.9729676,1
538,6027581666.449182,1
539,4109060695.0364256,1
540,11433791396.43443,0
541,854973335.1595958,1
542,3650200964.9396706,1
543,5156913975.115211,1
544,7638324995.799152,0
545,3165955627.2570333,1
546,4650940834.36551,1
547,5375765117.972656,0
548,4101726347.618579,1
549,1592059729.0332656,1
550,1743277590.6021733,1
551,5008628628.390738,0
552,8786286322.845804,1
553,3299981063.0485544,0
554,938972941.2113446,1
555,6312422337.58762,1
556,1554987551.964082,1
557,535446132.6887896,1
558,9129751463.644209,1
559,3351577212.9653783,1
560,4160645543.226297,1
561,12520064530.109268,0
562,12333448100.724363,1
563,3111583992.6287975,1
564,3088960551.9197335,1
565,3618003091.36182,1
566,1636771845.9035614,1
567,2133905909.7289224,1
568,2177841658.8730264,1
569,1790643516.5318065,1
570,8474185638.688022,1
571,1730587644.4878724,1
572,8046673951.676863,1
573,1815620203.5881464,1
574,2877386858.8370256,1
575,1856591750.5636938,1
576,7437791841.964395,1
577,2795318124.8062363,1
578,2780853521.336023,1
579,2886305132.3971524,1
580,7595662171.43363,1
581,6196038212.167251,1
582,5439112471.014908,1
583,7581413469.324745,1
584,15710985708.009378,1
585,2116571047.8254852,1
